Year,Average CO monthly,Average Ozone,PM10,PM25,NO2,,Hospitlizations Count
,8.451612903,22.75806452,34,42.4594595,43.16129032,,3170
,9.533333333,32.33333333,8,42.2666667,35.66666667,,2908
,11.19354839,19.72580645,26.0555556,58.0833333,53.43548387,,3180
2014,8.5,30,20,70,40.5,,3170
,10.42857143,37.92857143,21.9,67.4642857,51.57142857,,2496
,9.258064516,43.48387097,17.1111111,51.1612903,44.41935484,,3298
,8.6,50.7,14.7777778,46.4666667,44.86666667,,2863
,8.64516129,53.48387097,16,48.2258065,41,,3066
,8.333333333,62.63333333,17.2,50.8333333,41.73333333,,2191
,8.161290323,68.12903226,17.1,52.3225807,42.32258065,,1737
,8.967741935,60.19354839,14.4444444,46.8064516,44.96774194,,2037
,9.7,45.33333333,16.4,43.8,37.7,,4107
,9.451612903,21.93548387,28.6341463,31.6585366,38.29032258,,3270
,11.43333333,31.73333333,13.1,46.8333333,42.7,,2864
,10.35483871,18.98387097,23.7560976,39.8292683,42.5,,3215
2015,6.5,36,13.9,57.5,31,,3164
,10.21428571,36.53571429,16.5555556,65.3571429,50.75,,2524
,10.03225806,41.67741935,20.1,53.3225807,50.32258065,,2880
,9.066666667,46.53333333,11.6,38.4666667,44.56666667,,2786
,7.741935484,65.03225806,23.7,54.6451613,42.67741935,,3192
,8.2,62.13333333,18.8888889,46,35.56666667,,2238
,9.774193548,80.64516129,19.8,57.7096774,39.4516129,,1791
,8.870967742,78.06451613,15.1818182,46.483871,36.74193548,,1673
,9.366666667,66.93333333,18.1,52.3666667,40.03333333,,2439
,8.225806452,20.77419355,28.2195122,30.5609756,36.06451613,,2291
,11.83333333,31.26666667,11.5,46.7333333,42.16666667,,2086
,13.03225806,20.33870968,24.9268293,46.097561,46.74193548,,2164
2016,10.5,36,15.7272727,62,35.5,,1801
,9.464285714,36.35714286,12.6666667,53.5714286,39.42857143,,1774
,7.838709677,45.38709677,15,47.7096774,42.5483871,,2098
,6.466666667,51.26666667,15,44.6666667,42.26666667,,1741
,7.548387097,59.5483871,15.6363636,46.6774194,39.09677419,,1976
,7.4,81.83333333,17.1,50.7333333,36.7,,1422
,7.225806452,77.77419355,12.8888889,51.2903226,33.61290323,,1292
,9,64.67741935,15.1,46.7096774,32.09677419,,1382
,7.733333333,52.06666667,18.8888889,42.0333333,33.76666667,,1835
,8.806451613,22.30645161,30.3095238,35.8571429,38.69354839,,2150
,9.566666667,32.03333333,15.3,45.5666667,39.2,,1892
,8.387096774,19.5,27.025641,43.5384615,45.17741935,,1971
2017,11,32.5,14.7,57.5,53.5,,1878
,8.821428571,38.67857143,16.5555556,59.3928571,44.53571429,,1514
,7.032258065,44.32258065,10.7272727,48.4193548,39.32258065,,1815
,6.766666667,51.86666667,11.2727273,42,41.6,,1722
,6.612903226,50.16129032,14.3636364,38.4516129,35.06451613,,2153
,5.9,67.53333333,17.0833333,54.9,34.83333333,,1293
,6.64516129,70.51612903,13.2727273,52.7419355,35,,934
,6.548387097,54.74193548,13.9,50.9354839,35.35483871,,1020
